电影链接,排名,电影名,上映年份,制片国家,类型,评分,评论数量,引言
https://movie.douban.com/subject/1294371/,87,摩登时代,1936,美国,剧情 喜剧 爱情,9.3,216016,大时代中的人生，小人物的悲喜。
https://movie.douban.com/subject/1652587/,88,阿凡达,2009,美国 英国,动作 科幻 冒险,8.7,1005778,绝对意义上的美轮美奂。
https://movie.douban.com/subject/3011235/,89,哈利·波特与死亡圣器(下),2011,美国 英国,奇幻 冒险,8.9,583405,10年的完美句点。
https://movie.douban.com/subject/1292370/,90,剪刀手爱德华,1990,美国,剧情 奇幻 爱情,8.7,847598,浪漫忧郁的成人童话。
https://movie.douban.com/subject/1302425/,91,喜剧之王,1999,中国香港,喜剧 剧情 爱情,8.8,721188,我是一个演员。
https://movie.douban.com/subject/1294639/,92,勇敢的心,1995,美国,动作 传记 剧情 历史 战争,8.9,465527,史诗大片的典范。
https://movie.douban.com/subject/1297192/,93,致命ID,2003,美国,剧情 悬疑 惊悚,8.8,606036,最不可能的那个人永远是最可能的。
https://movie.douban.com/subject/1298070/,94,加勒比海盗,2003,美国,动作 冒险 奇幻,8.8,670918,约翰尼·德普的独角戏。
https://movie.douban.com/subject/1300299/,95,杀人回忆,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.8,508770,关于连环杀人悬案的集体回忆。
https://movie.douban.com/subject/1292215/,96,天使爱美丽,2001,法国 德国,喜剧 爱情,8.7,805010,法式小清新。 
https://movie.douban.com/subject/6985810/,97,狩猎,2012,丹麦 瑞典,剧情,9.1,277572,人言可畏。
https://movie.douban.com/subject/1418834/,98,断背山,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,563977,每个人心中都有一座断背山。
https://movie.douban.com/subject/26799731/,99,请以你的名字呼唤我,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性,8.9,497761,沉醉在电影的情感和视听氛围中无法自拔。
https://movie.douban.com/subject/10777687/,100,7号房的礼物,2013,韩国,剧情 喜剧 家庭,8.9,406035,《我是山姆》的《美丽人生》。
https://movie.douban.com/subject/1865703/,101,红辣椒,2006,日本,动画 悬疑 科幻 惊悚,9.0,311934,梦的勾结。
https://movie.douban.com/subject/1297359/,102,幽灵公主,1997,日本,动画 奇幻 冒险,8.9,415390,人与自然的战争史诗。
https://movie.douban.com/subject/25814705/,103,小森林 夏秋篇,2014,日本,剧情,9.0,321970,那些静得只能听见呼吸的日子里，你明白孤独即生活。
https://movie.douban.com/subject/1291875/,104,阳光灿烂的日子,1994,中国大陆 中国香港,剧情 爱情,8.8,478961,一场华丽的意淫。
https://movie.douban.com/subject/1297630/,105,第六感,1999,美国,剧情 悬疑 惊悚,8.9,418190,深入内心的恐怖，出人意料的结局。
https://movie.douban.com/subject/1291999/,106,重庆森林,1994,中国香港,剧情 爱情,8.7,605467,寂寞没有期限。
https://movie.douban.com/subject/2149806/,107,入殓师,2008,日本,剧情,8.8,464087,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
https://movie.douban.com/subject/25814707/,108,小森林 冬春篇,2015,日本,剧情,9.0,285948,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
https://movie.douban.com/subject/21318488/,109,消失的爱人,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,685595,年度最佳date movie。
https://movie.douban.com/subject/1296339/,110,爱在黎明破晓前,1995,美国 奥地利 瑞士,剧情 爱情,8.8,460607,缘分是个连绵词，最美不过一瞬。
https://movie.douban.com/subject/1306249/,111,唐伯虎点秋香,1993,中国香港,喜剧 爱情 古装,8.6,787305,华太师是黄霑，吴镇宇四大才子之一。
https://movie.douban.com/subject/1292434/,112,一一,2000,中国台湾 日本,剧情 爱情 家庭,9.0,270795,我们都曾经是一一。
https://movie.douban.com/subject/3395373/,113,蝙蝠侠：黑暗骑士崛起,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,547966,诺兰就是保证。
https://movie.douban.com/subject/1293359/,114,菊次郎的夏天,1999,日本,剧情 喜剧,8.8,425144,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
https://movie.douban.com/subject/5322596/,115,超脱,2011,美国,剧情,8.9,358920,穷尽一生，我们要学会的，不过是彼此拥抱。
https://movie.douban.com/subject/1297052/,116,侧耳倾听,1995,日本,剧情 爱情 动画,8.9,351174,少女情怀总是诗。
https://movie.douban.com/subject/1297447/,117,倩女幽魂,1987,中国香港,爱情 奇幻 武侠 古装,8.7,554712,两张绝世的脸。 
https://movie.douban.com/subject/1292337/,118,无人知晓,2004,日本,剧情,9.1,214343,我的平常生活就是他人的幸福。
https://movie.douban.com/subject/11026735/,119,超能陆战队,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,761206,Balalala~~~
https://movie.douban.com/subject/3072124/,120,玛丽和马克思,2009,澳大利亚,剧情 喜剧 动画,8.9,347586,你是我最好的朋友，你是我唯一的朋友 。
https://movie.douban.com/subject/1305164/,121,甜蜜蜜,1996,中国香港,剧情 爱情,8.8,396440,相逢只要一瞬间，等待却像是一辈子。
https://movie.douban.com/subject/5989818/,122,萤火之森,2011,日本,剧情 爱情 动画 奇幻,8.9,384881,触不到的恋人。
https://movie.douban.com/subject/4202302/,123,借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险,8.8,414662,曾经的那段美好会沉淀为一辈子的记忆。
https://movie.douban.com/subject/4268598/,124,告白,2010,日本,剧情 惊悚,8.7,558108,没有一人完全善，也没有一人完全恶。
https://movie.douban.com/subject/2353023/,125,驯龙高手,2010,美国,动画 奇幻 冒险,8.7,583092,和谐的生活离不开摸头与被摸头。
https://movie.douban.com/subject/1291545/,126,大鱼,2003,美国,剧情 家庭 奇幻 冒险,8.8,444380,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
https://movie.douban.com/subject/4917726/,127,阳光姐妹淘,2011,韩国,剧情 喜剧,8.8,480039,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
https://movie.douban.com/subject/1291990/,128,爱在日落黄昏时,2004,美国 法国,剧情 爱情,8.8,387315,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
https://movie.douban.com/subject/1291543/,129,功夫,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.6,744582,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
https://movie.douban.com/subject/1292274/,130,幸福终点站,2004,美国,喜剧 剧情 爱情,8.8,415330,有时候幸福需要等一等。 
https://movie.douban.com/subject/1316510/,131,射雕英雄传之东成西就,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,497025,百看不厌。 
https://movie.douban.com/subject/26874505/,132,人生果实,2017,日本,纪录片,9.5,114051,土壤没有落叶不会肥沃，没有了你就不算人生。
https://movie.douban.com/subject/1300992/,133,完美的世界,1993,美国,剧情 犯罪,9.1,202871,坏人的好总是比好人的好来得更感人。
https://movie.douban.com/subject/21360417/,134,恐怖直播,2013,韩国,剧情 犯罪 悬疑,8.8,489069,恐怖分子的“秋菊打官司”。
https://movie.douban.com/subject/1291579/,135,怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.7,494638,不要给它起名字，起了名字就有感情了。
https://movie.douban.com/subject/3287562/,136,神偷奶爸,2010,美国 法国,喜剧 动画 冒险,8.6,747619,Mr. I Don't Care其实也有Care的时候。
https://movie.douban.com/subject/1428581/,137,天书奇谭,1983(中国大陆),中国大陆,动画 奇幻,9.2,167410,传奇的年代，醉人的童话。
https://movie.douban.com/subject/1291544/,138,哈利·波特与阿兹卡班的囚徒,2004,英国 美国,奇幻 冒险,8.7,450163,不一样的导演，不一样的哈利·波特。
https://movie.douban.com/subject/1858711/,139,玩具总动员3,2010,美国,喜剧 动画 奇幻 冒险,8.8,383203,跨度十五年的欢乐与泪水。
https://movie.douban.com/subject/1418200/,140,傲慢与偏见,2005,法国 英国 美国,剧情 爱情,8.6,588402,爱是摈弃傲慢与偏见之后的曙光。
https://movie.douban.com/subject/26325320/,141,血战钢锯岭,2016,美国 澳大利亚,剧情 传记 历史 战争,8.7,616078,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
https://movie.douban.com/subject/1294240/,142,教父3,1990,美国,剧情 犯罪,8.9,265651,任何信念的力量，都无法改变命运。
https://movie.douban.com/subject/10577869/,143,时空恋旅人,2013,英国,喜剧 爱情 奇幻,8.7,426669,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
https://movie.douban.com/subject/25986180/,144,釜山行,2016,韩国,动作 惊悚 灾难,8.5,882672,揭露人性的丧尸题材力作。
https://movie.douban.com/subject/1307315/,145,哪吒闹海,1979,中国大陆,冒险 动画 奇幻,9.1,189842,想你时你在闹海。
https://movie.douban.com/subject/1291585/,146,风之谷,1984,日本,动画 奇幻 冒险,8.9,292696,动画片的圣经。
https://movie.douban.com/subject/6307447/,147,被解救的姜戈,2012,美国,剧情 动作 西部 冒险,8.7,463251,热血沸腾，那个低俗、性感的无耻混蛋又来了。
https://movie.douban.com/subject/1417598/,148,电锯惊魂,2004,美国,悬疑 惊悚 恐怖,8.7,388414,真相就在眼前。
https://movie.douban.com/subject/1296996/,149,哈利·波特与密室,2002,美国 英国 德国,奇幻 冒险,8.7,472007,魔法的密室之门已打开...
https://movie.douban.com/subject/1303037/,150,喜宴,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,256655,中国家庭的喜怒哀乐忍。
https://movie.douban.com/subject/1295399/,151,七武士,1954,日本,动作 冒险 剧情,9.3,143847,时代悲歌。
https://movie.douban.com/subject/1292208/,152,上帝之城,2002,巴西 法国,犯罪 剧情,8.9,240587,被上帝抛弃了的上帝之城。
https://movie.douban.com/subject/4920389/,153,头号玩家,2018,美国,动作 科幻 冒险,8.7,1073048,写给影迷，动漫迷和游戏迷的一封情书。
https://movie.douban.com/subject/1306861/,154,我是山姆,2001,美国,剧情 家庭,8.9,234833,爱并不需要智商 。
https://movie.douban.com/subject/1297574/,155,英雄本色,1986,中国香港,剧情 动作 犯罪,8.7,387768,英雄泪短，兄弟情长。 
https://movie.douban.com/subject/1578507/,156,谍影重重3,2007,美国 德国,动作 悬疑 惊悚,8.8,328444,像吃了苏打饼一样干脆的电影。
https://movie.douban.com/subject/26628357/,157,一个叫欧维的男人决定去死,2015,瑞典,剧情,8.9,301808,惠及一生的美丽。
https://movie.douban.com/subject/3792799/,158,岁月神偷,2010,中国香港 中国大陆,剧情 家庭,8.7,478788,岁月流逝，来日可追。
https://movie.douban.com/subject/1295409/,159,纵横四海,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,310124,香港浪漫主义警匪动作片的巅峰之作。
