电影链接,排名,电影名,上映年份,制片国家,类型,评分,评论数量,引言
https://movie.douban.com/subject/1291844/,202,终结者2：审判日,1991,美国 法国,动作 科幻,8.7,268970,少见的超越首部的续集，动作片中的经典。
https://movie.douban.com/subject/1308857/,203,可可西里,2004,中国大陆 中国香港,剧情 犯罪,8.8,225563,坚硬的信仰。
https://movie.douban.com/subject/1309055/,204,哈利·波特与火焰杯,2005,英国 美国,悬疑 奇幻 冒险,8.6,403929,
https://movie.douban.com/subject/4739952/,205,初恋这件小事,2010,泰国,剧情 喜剧 爱情,8.4,800187,黑小鸭速效美白记。
https://movie.douban.com/subject/1292226/,206,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险,8.8,219517,现代科幻电影的开山之作，最伟大导演的最伟大影片。
https://movie.douban.com/subject/1293908/,207,城市之光,1931,美国,喜剧 剧情 爱情,9.3,99210,永远的小人物，伟大的卓别林。
https://movie.douban.com/subject/1828115/,208,色，戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.5,526790,假戏真情，爱欲深海
https://movie.douban.com/subject/1293964/,209,魂断蓝桥,1940,美国,剧情 爱情 战争,8.8,212899,中国式内在的美国电影。
https://movie.douban.com/subject/1297518/,210,九品芝麻官,1994,中国香港,剧情 喜剧 古装,8.5,433840,
https://movie.douban.com/subject/1292329/,211,牯岭街少年杀人事件,1991,中国台湾,剧情 犯罪,8.8,197867,弱者送给弱者的一刀。
https://movie.douban.com/subject/3443389/,212,海洋,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,9.1,134457,大海啊，不全是水。
https://movie.douban.com/subject/1295865/,213,燃情岁月,1994,美国,剧情 爱情 战争 西部,8.8,226449,传奇，不是每个人都可以拥有。
https://movie.douban.com/subject/1867345/,214,遗愿清单,2007,美国,冒险 喜剧 剧情,8.6,295283,用剩余不多的时间，去燃烧整个生命。
https://movie.douban.com/subject/1292287/,215,新龙门客栈,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,338601,嬉笑怒骂，调风动月。
https://movie.douban.com/subject/3075287/,216,源代码,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,637994,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
https://movie.douban.com/subject/1303394/,217,青蛇,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,393464,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
https://movie.douban.com/subject/27059130/,218,大佛普拉斯,2017,中国台湾,剧情 喜剧,8.7,301719,人们可以登上月球，却永远无法探索人们内心的宇宙。
https://movie.douban.com/subject/1438652/,219,无耻混蛋,2009,德国 美国,剧情 犯罪,8.6,370572,昆汀同学越来越变态了，比北野武还杜琪峰。
https://movie.douban.com/subject/1937946/,220,穿越时空的少女,2006,日本,剧情 爱情 科幻 动画,8.6,309821,爱上未来的你。 
https://movie.douban.com/subject/1428175/,221,血钻,2006,美国 德国,剧情 惊悚 冒险,8.7,275780,每个美丽事物背后都是滴血的现实。
https://movie.douban.com/subject/3592854/,222,疯狂的麦克斯4：狂暴之路,2015,澳大利亚 南非,动作 科幻 冒险,8.6,396049,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
https://movie.douban.com/subject/5300054/,223,波西米亚狂想曲,2018,英国 美国,剧情 传记 同性 音乐,8.7,441019,
https://movie.douban.com/subject/1305690/,224,阿飞正传,1990,中国香港,犯罪 剧情 爱情,8.5,381095,王家卫是一种风格，张国荣是一个代表。
https://movie.douban.com/subject/26614893/,225,完美陌生人,2016,意大利,剧情 喜剧,8.5,424962,来啊，互相伤害啊！
https://movie.douban.com/subject/1308767/,226,谍影重重2,2004,美国 德国,动作 悬疑 惊悚,8.7,276038,谁说王家卫镜头很晃？
https://movie.douban.com/subject/2222996/,227,步履不停,2008,日本,剧情 家庭,8.8,198717,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
https://movie.douban.com/subject/1760622/,228,香水,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.5,441347,一个单凭体香达到高潮的男人。
https://movie.douban.com/subject/2363506/,229,地球上的星星,2007,印度,剧情 儿童 家庭,8.9,160260,天使保护事件始末。
